order_id,customer_id,product_id,quantity,unit_price,status,order_ts
12c58e97-bbf5-4be6-9a3f-e15f0b81bc3f,7372db2b-7cfe-4f79-b65b-98c1da9388c2,P04549,5,153.75,DELIVERED,2025-05-27T14:46:38
eb77dab9-c2c3-4b0d-b8c8-ee1831a784ca,07ee71b3-96ac-4f23-af34-6a5a0f95c1f2,P02846,8,599.21,DELIVERED,2026-03-11T19:28:37
90d4efbb-7dcd-45c1-b795-ffc96db01bfa,eda97e0d-d9c8-4a73-8f0a-5f9491f830b4,P00720,10,419.32,RETURNED,2025-07-11T16:56:10
dfba00c0-9698-4a99-a511-0c4c80a37935,caa3164a-924d-4e5a-bc34-da9d72e6f530,P00122,4,1320.11,SHIPPED,2025-11-07T00:14:44
ac619ed7-61eb-49f8-8ca4-07c23731d56c,8565723f-ce8d-4a6c-b28b-f0f33121e7b0,P03596,9,1370.16,CANCELLED,2025-12-21T05:59:09
41d2da85-529a-4345-801c-d8a351383a91,1cd630ba-a589-41ec-a4fa-6e75cfa6e5ad,P03936,10,1283.46,PLACED,2025-09-28T18:28:51
ec4eaf4f-636f-47c0-b6f1-8c2b230a612d,f53a1ad3-6355-4eca-8abd-1a940e799fd9,P04158,3,1131.48,PLACED,2025-06-24T23:45:30
1a71c455-7f55-44fa-aa75-211242a9a92c,bbdd62a3-0c63-4813-aa3e-16a549aec0f3,P03443,9,1194.39,CANCELLED,2025-12-26T07:45:03
419b81d3-a8e9-4088-a543-798ca450bc8a,ea780293-02fb-4e7a-a18c-915ce40a5aff,P01475,9,1715.72,SHIPPED,2025-10-03T20:47:14
0a225cca-36f0-47b3-8f8a-b808009ec61d,d18a38a9-f342-4b64-a251-c3e3caa2823f,P02910,8,1471.07,PLACED,2026-01-18T11:02:04
2efcc2c9-9737-447c-8b4b-1aea44ed763a,3d3d65eb-f354-484d-8c4a-1eeb31aa2921,P02001,7,891.44,RETURNED,2025-06-27T22:23:15
2315417a-ab92-4b19-a2d3-1fd3c34b8522,cfcb0ad5-50c6-45eb-a8c6-28699e8c0290,P02202,5,1097.6,SHIPPED,2026-02-23T23:49:18
8be7ac2f-a443-4bd8-9470-5f721b426bef,2be12519-9410-43b5-94a6-5107cb2dea71,P00102,7,1744.4,PLACED,2026-01-05T06:05:51
